Reference, Value, Footprint, Datasheet, フィールド4, フィールド5, フィールド6, フィールド7, フィールド8
"U3","ATMEGA328P-PU","Housings_DIP:DIP-28_W7.62mm",""
"U1","L7809","TO_SOT_Packages_THT:TO-220-3_Vertical",""
"U2","L7805","TO_SOT_Packages_THT:TO-220-3_Vertical",""
"C2","0.1uF","Capacitors_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm",""
"C4","0.1uF","Capacitors_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm",""
"C3","0.1uF","Capacitors_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm",""
"C5","0.1uF","Capacitors_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm",""
"C6","220uF","Capacitors_THT:CP_Radial_D8.0mm_P3.50mm",""
"C7","220uF","Capacitors_THT:CP_Radial_D8.0mm_P3.50mm",""
"C1","470uF","Capacitors_THT:CP_Radial_D10.0mm_P5.00mm",""
"C8","0.1uF","Capacitors_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm",""
"J2","ILM","Pin_Headers:Pin_Header_Straight_1x01_Pitch2.54mm",""
"R2","10k","Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"R4","10k","Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"D5","D","Diodes_THT:D_T-1_P10.16mm_Horizontal",""
"C10","0.1uF","Capacitors_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm",""
"J1","IGF","Pin_Headers:Pin_Header_Straight_1x01_Pitch2.54mm",""
"R1","10k","Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"R3","10k","Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"D4","D","Diodes_THT:D_T-1_P10.16mm_Horizontal",""
"C9","0.01uF","Capacitors_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm",""
"Y1","Ceralock 8MHz","Crystals:Resonator_muRata_CSTLSxxxG-3pin_w8.0mm_h3.0mm",""
"J3","Conn_02x03_Odd_Even","Pin_Headers:Pin_Header_Straight_2x03_Pitch2.54mm",""
"IC1","L293D","Housings_DIP:DIP-16_W7.62mm","2.44 USD","SOIC-20 STMicroelectronics","L293D","Good","STMicroelectronics","Driver; 36V; Power DIP; 600mA Low LevelO/P; 1.2A O/P High Level; 4 Drivers; 7V"
"C12","0.1uF","Capacitors_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm",""
"C11","0.1uF","Capacitors_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm",""
"J4","STP1","Pin_Headers:Pin_Header_Straight_1x01_Pitch2.54mm",""
"J6","STP4","Pin_Headers:Pin_Header_Straight_1x01_Pitch2.54mm",""
"J7","STP3","Pin_Headers:Pin_Header_Straight_1x01_Pitch2.54mm",""
"J5","STP2","Pin_Headers:Pin_Header_Straight_1x01_Pitch2.54mm",""
"D3","D","Diodes_THT:D_T-1_P10.16mm_Horizontal",""
"D2","D","Diodes_THT:D_T-1_P10.16mm_Horizontal",""
"D1","D","Diodes_THT:D_A-405_P5.08mm_Vertical_KathodeUp",""
"D6","LED_RCBG","Pin_Headers:Pin_Header_Straight_1x04_Pitch2.54mm",""
"R5","330","Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"R6","330","Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"R7","330","Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"Q1","2SC1815","TO_SOT_Packages_THT:TO-92_Molded_Narrow",""
"R8","1k","Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"R9","10k","Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"BZ1","Buzzer","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm",""
"SW1","SW_DIP_x01","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm",""
"SW2","SW_DIP_x01","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm",""
"J8","ACC","Pin_Headers:Pin_Header_Straight_1x01_Pitch2.54mm",""
"J9","GND","Pin_Headers:Pin_Header_Straight_1x01_Pitch2.54mm",""
